concept_id,Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,Proposal_number,Decision_summary,AvibaseID,taxon_name_id
FAMILY-2,2,family,Struthioniformes,Struthionidae,Ostriches,Struthionidae,,,avibase-family-2,taxonname-family-2
FAMILY-11,11,family,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuariidae,,,avibase-family-11,taxonname-family-11
FAMILY-25,25,family,Apterygiformes,Apterygidae,Kiwis,Apterygidae,,,avibase-family-25,taxonname-family-25
FAMILY-35,35,family,Rheiformes,Rheidae,Rheas,Rheidae,,,avibase-family-35,taxonname-family-35
FAMILY-48,48,family,Tinamiformes,Tinamidae,Tinamous,Tinamidae,,,avibase-family-48,taxonname-family-48
FAMILY-231,231,family,Anseriformes,Anhimidae,Screamers,Anhimidae,,,avibase-family-231,taxonname-family-231
FAMILY-237,237,family,Anseriformes,Anseranatidae,Magpie Goose,Anseranatidae,,,avibase-family-237,taxonname-family-237
FAMILY-240,240,family,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anatidae,,,avibase-family-240,taxonname-family-240
FAMILY-589,589,family,Galliformes,Megapodiidae,Megapodes,Megapodiidae,,,avibase-family-589,taxonname-family-589
FAMILY-645,645,family,Galliformes,Cracidae,"Guans, Curassows, and Chachalacas",Cracidae,,,avibase-family-645,taxonname-family-645
FAMILY-762,762,family,Galliformes,Numididae,Guineafowl,Numididae,,,avibase-family-762,taxonname-family-762
FAMILY-790,790,family,Galliformes,Odontophoridae,New World Quail,Odontophoridae,,,avibase-family-790,taxonname-family-790
FAMILY-949,949,family,Galliformes,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",Phasianidae,,,avibase-family-949,taxonname-family-949
FAMILY-1614,1614,family,Phoenicopteriformes,Phoenicopteridae,Flamingos,Phoenicopteridae,,,avibase-family-1614,taxonname-family-1614
FAMILY-1627,1627,family,Podicipediformes,Podicipedidae,Grebes,Podicipedidae,,,avibase-family-1627,taxonname-family-1627
FAMILY-1702,1702,family,Musophagiformes,Musophagidae,Turacos,Musophagidae,,,avibase-family-1702,taxonname-family-1702
FAMILY-1762,1762,family,Otidiformes,Otididae,Bustards,Otididae,,,avibase-family-1762,taxonname-family-1762
FAMILY-1831,1831,family,Cuculiformes,Cuculidae,Cuckoos,Cuculidae,,,avibase-family-1831,taxonname-family-1831
FAMILY-2220,2220,family,Mesitornithiformes,Mesitornithidae,Mesites,Mesitornithidae,,,avibase-family-2220,taxonname-family-2220
FAMILY-2227,2227,family,Pterocliformes,Pteroclidae,Sandgrouse,Pteroclidae,,,avibase-family-2227,taxonname-family-2227
FAMILY-2275,2275,family,Columbiformes,Columbidae,Doves and Pigeons,Columbidae,,,avibase-family-2275,taxonname-family-2275
FAMILY-3234,3234,family,Opisthocomiformes,Opisthocomidae,Hoatzin,Opisthocomidae,,,avibase-family-3234,taxonname-family-3234
FAMILY-3238,3238,family,Gruiformes,Psophiidae,Trumpeters,Psophiidae,,,avibase-family-3238,taxonname-family-3238
FAMILY-3249,3249,family,Gruiformes,Aramidae,Limpkin,Aramidae,,,avibase-family-3249,taxonname-family-3249
FAMILY-3256,3256,family,Gruiformes,Gruidae,Cranes,Gruidae,,,avibase-family-3256,taxonname-family-3256
FAMILY-3288,3288,family,Gruiformes,Heliornithidae,Finfoots,Heliornithidae,,,avibase-family-3288,taxonname-family-3288
FAMILY-3299,3299,family,Gruiformes,Sarothruridae,Flufftails,Sarothruridae,,,avibase-family-3299,taxonname-family-3299
FAMILY-3339,3339,family,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",Rallidae,,,avibase-family-3339,taxonname-family-3339
FAMILY-3726,3726,family,Charadriiformes,Pluvianellidae,Magellanic Plover,Pluvianellidae,,,avibase-family-3726,taxonname-family-3726
FAMILY-3729,3729,family,Charadriiformes,Chionidae,Sheathbills,Chionidae,,,avibase-family-3729,taxonname-family-3729
FAMILY-3737,3737,family,Charadriiformes,Burhinidae,Thick-knees and Stone-curlews,Burhinidae,,,avibase-family-3737,taxonname-family-3737
FAMILY-3766,3766,family,Charadriiformes,Pluvianidae,Egyptian Plover,Pluvianidae,,,avibase-family-3766,taxonname-family-3766
FAMILY-3769,3769,family,Charadriiformes,Recurvirostridae,Stilts and Avocets,Recurvirostridae,,,avibase-family-3769,taxonname-family-3769
FAMILY-3785,3785,family,Charadriiformes,Ibidorhynchidae,Ibisbill,Ibidorhynchidae,,,avibase-family-3785,taxonname-family-3785
FAMILY-3788,3788,family,Charadriiformes,Haematopodidae,Oystercatchers,Haematopodidae,,,avibase-family-3788,taxonname-family-3788
FAMILY-3810,3810,family,Charadriiformes,Charadriidae,Plovers and Lapwings,Charadriidae,,,avibase-family-3810,taxonname-family-3810
FAMILY-3957,3957,family,Charadriiformes,Pedionomidae,Plains-wanderer,Pedionomidae,,,avibase-family-3957,taxonname-family-3957
FAMILY-3960,3960,family,Charadriiformes,Thinocoridae,Seedsnipes,Thinocoridae,,,avibase-family-3960,taxonname-family-3960
FAMILY-3975,3975,family,Charadriiformes,Rostratulidae,Painted-Snipes,Rostratulidae,,,avibase-family-3975,taxonname-family-3975
FAMILY-3981,3981,family,Charadriiformes,Jacanidae,Jacanas,Jacanidae,,,avibase-family-3981,taxonname-family-3981
FAMILY-4002,4002,family,Charadriiformes,Scolopacidae,Sandpipers and Allies,Scolopacidae,,,avibase-family-4002,taxonname-family-4002
FAMILY-4192,4192,family,Charadriiformes,Turnicidae,Buttonquail,Turnicidae,,,avibase-family-4192,taxonname-family-4192
FAMILY-4258,4258,family,Charadriiformes,Dromadidae,Crab-Plover,Dromadidae,,,avibase-family-4258,taxonname-family-4258
FAMILY-4261,4261,family,Charadriiformes,Glareolidae,Coursers and Pratincoles,Glareolidae,,,avibase-family-4261,taxonname-family-4261
FAMILY-4308,4308,family,Charadriiformes,Stercorariidae,Jaegers and Skuas,Stercorariidae,,,avibase-family-4308,taxonname-family-4308
FAMILY-4322,4322,family,Charadriiformes,Alcidae,"Auks, Puffins, and Murres",Alcidae,,,avibase-family-4322,taxonname-family-4322
FAMILY-4386,4386,family,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Laridae,,,avibase-family-4386,taxonname-family-4386
FAMILY-4640,4640,family,Eurypygiformes,Eurypygidae,Sunbittern,Eurypygidae,,,avibase-family-4640,taxonname-family-4640
FAMILY-4646,4646,family,Eurypygiformes,Rhynochetidae,Kagu,Rhynochetidae,,,avibase-family-4646,taxonname-family-4646
FAMILY-4650,4650,family,Phaethontiformes,Phaethontidae,Tropicbirds,Phaethontidae,,,avibase-family-4650,taxonname-family-4650
FAMILY-4669,4669,family,Gaviiformes,Gaviidae,Loons,Gaviidae,,,avibase-family-4669,taxonname-family-4669
FAMILY-4679,4679,family,Sphenisciformes,Spheniscidae,Penguins,Spheniscidae,,,avibase-family-4679,taxonname-family-4679
FAMILY-4716,4716,family,Procellariiformes,Diomedeidae,Albatrosses,Diomedeidae,,,avibase-family-4716,taxonname-family-4716
FAMILY-4749,4749,family,Procellariiformes,Oceanitidae,Southern Storm Petrels,Oceanitidae,,,avibase-family-4749,taxonname-family-4749
FAMILY-4782,4782,family,Procellariiformes,Hydrobatidae,Northern Storm Petrels,Hydrobatidae,,,avibase-family-4782,taxonname-family-4782
FAMILY-4810,4810,family,Procellariiformes,Procellariidae,"Petrels, Shearwaters, and Diving Petrels",Procellariidae,,,avibase-family-4810,taxonname-family-4810
FAMILY-4971,4971,family,Ciconiiformes,Ciconiidae,Storks,Ciconiidae,,,avibase-family-4971,taxonname-family-4971
FAMILY-5007,5007,family,Suliformes,Fregatidae,Frigatebirds,Fregatidae,,,avibase-family-5007,taxonname-family-5007
FAMILY-5022,5022,family,Suliformes,Sulidae,Boobies and Gannets,Sulidae,,,avibase-family-5022,taxonname-family-5022
FAMILY-5050,5050,family,Suliformes,Anhingidae,Anhinga and Darters,Anhingidae,,,avibase-family-5050,taxonname-family-5050
FAMILY-5063,5063,family,Suliformes,Phalacrocoracidae,Cormorants and Shags,Phalacrocoracidae,,,avibase-family-5063,taxonname-family-5063
FAMILY-5143,5143,family,Pelecaniformes,Threskiornithidae,Ibises and Spoonbills,Threskiornithidae,,,avibase-family-5143,taxonname-family-5143
FAMILY-5216,5216,family,Pelecaniformes,Balaenicipitidae,Shoebill,Balaenicipitidae,,,avibase-family-5216,taxonname-family-5216
FAMILY-5219,5219,family,Pelecaniformes,Scopidae,Hamerkop,Scopidae,,,avibase-family-5219,taxonname-family-5219
FAMILY-5224,5224,family,Pelecaniformes,Pelecanidae,Pelicans,Pelecanidae,,,avibase-family-5224,taxonname-family-5224
FAMILY-5239,5239,family,Pelecaniformes,Ardeidae,"Herons, Egrets, and Bitterns",Ardeidae,,,avibase-family-5239,taxonname-family-5239
FAMILY-5432,5432,family,Caprimulgiformes,Caprimulgidae,Nightjars and Nighthawks,Caprimulgidae,,,avibase-family-5432,taxonname-family-5432
FAMILY-5723,5723,family,Steatornithiformes,Steatornithidae,Oilbird,Steatornithidae,,,avibase-family-5723,taxonname-family-5723
