Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,Authority,Bibliographic_details,English_name_AviList,English_name_Clements_v2024,English_name_BirdLife_v9,Proposal_number,Decision_summary,Range,Extinct_or_possibly_extinct,IUCN_Red_List_Category,BirdLife_DataZone_URL,Species_code_Cornell_Lab,Birds_of_the_World_URL,AvibaseID,Gender_of_genus,Type_species_of_genus,Type_locality,Title_of_original_description,Original_description_URL,Protonym
2,family,Struthioniformes,Struthionidae,Ostriches,Struthionidae,,,,,,,,,,,,,,,,,,,,
11,family,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuariidae,,,,,,,,,,,,,,,,,,,,
25,family,Apterygiformes,Apterygidae,Kiwis,Apterygidae,,,,,,,,,,,,,,,,,,,,
35,family,Rheiformes,Rheidae,Rheas,Rheidae,,,,,,,,,,,,,,,,,,,,
48,family,Tinamiformes,Tinamidae,Tinamous,Tinamidae,,,,,,,,,,,,,,,,,,,,
231,family,Anseriformes,Anhimidae,Screamers,Anhimidae,,,,,,,,,,,,,,,,,,,,
237,family,Anseriformes,Anseranatidae,Magpie Goose,Anseranatidae,,,,,,,,,,,,,,,,,,,,
240,family,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anatidae,,,,,,,,,,,,,,,,,,,,
589,family,Galliformes,Megapodiidae,Megapodes,Megapodiidae,,,,,,,,,,,,,,,,,,,,
645,family,Galliformes,Cracidae,"Guans, Curassows, and Chachalacas",Cracidae,,,,,,,,,,,,,,,,,,,,
762,family,Galliformes,Numididae,Guineafowl,Numididae,,,,,,,,,,,,,,,,,,,,
790,family,Galliformes,Odontophoridae,New World Quail,Odontophoridae,,,,,,,,,,,,,,,,,,,,
949,family,Galliformes,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",Phasianidae,,,,,,,,,,,,,,,,,,,,
1614,family,Phoenicopteriformes,Phoenicopteridae,Flamingos,Phoenicopteridae,,,,,,,,,,,,,,,,,,,,
1627,family,Podicipediformes,Podicipedidae,Grebes,Podicipedidae,,,,,,,,,,,,,,,,,,,,
1702,family,Musophagiformes,Musophagidae,Turacos,Musophagidae,,,,,,,,,,,,,,,,,,,,
1762,family,Otidiformes,Otididae,Bustards,Otididae,,,,,,,,,,,,,,,,,,,,
1831,family,Cuculiformes,Cuculidae,Cuckoos,Cuculidae,,,,,,,,,,,,,,,,,,,,
2220,family,Mesitornithiformes,Mesitornithidae,Mesites,Mesitornithidae,,,,,,,,,,,,,,,,,,,,
2227,family,Pterocliformes,Pteroclidae,Sandgrouse,Pteroclidae,,,,,,,,,,,,,,,,,,,,
2275,family,Columbiformes,Columbidae,Doves and Pigeons,Columbidae,,,,,,,,,,,,,,,,,,,,
3234,family,Opisthocomiformes,Opisthocomidae,Hoatzin,Opisthocomidae,,,,,,,,,,,,,,,,,,,,
3238,family,Gruiformes,Psophiidae,Trumpeters,Psophiidae,,,,,,,,,,,,,,,,,,,,
3249,family,Gruiformes,Aramidae,Limpkin,Aramidae,,,,,,,,,,,,,,,,,,,,
3256,family,Gruiformes,Gruidae,Cranes,Gruidae,,,,,,,,,,,,,,,,,,,,
3288,family,Gruiformes,Heliornithidae,Finfoots,Heliornithidae,,,,,,,,,,,,,,,,,,,,
3299,family,Gruiformes,Sarothruridae,Flufftails,Sarothruridae,,,,,,,,,,,,,,,,,,,,
3339,family,Gruiformes,Rallidae,"Rails, Gallinules, and Coots",Rallidae,,,,,,,,,,,,,,,,,,,,
3726,family,Charadriiformes,Pluvianellidae,Magellanic Plover,Pluvianellidae,,,,,,,,,,,,,,,,,,,,
3729,family,Charadriiformes,Chionidae,Sheathbills,Chionidae,,,,,,,,,,,,,,,,,,,,
3737,family,Charadriiformes,Burhinidae,Thick-knees and Stone-curlews,Burhinidae,,,,,,,,,,,,,,,,,,,,
3766,family,Charadriiformes,Pluvianidae,Egyptian Plover,Pluvianidae,,,,,,,,,,,,,,,,,,,,
3769,family,Charadriiformes,Recurvirostridae,Stilts and Avocets,Recurvirostridae,,,,,,,,,,,,,,,,,,,,
3785,family,Charadriiformes,Ibidorhynchidae,Ibisbill,Ibidorhynchidae,,,,,,,,,,,,,,,,,,,,
3788,family,Charadriiformes,Haematopodidae,Oystercatchers,Haematopodidae,,,,,,,,,,,,,,,,,,,,
3810,family,Charadriiformes,Charadriidae,Plovers and Lapwings,Charadriidae,,,,,,,,,,,,,,,,,,,,
3957,family,Charadriiformes,Pedionomidae,Plains-wanderer,Pedionomidae,,,,,,,,,,,,,,,,,,,,
3960,family,Charadriiformes,Thinocoridae,Seedsnipes,Thinocoridae,,,,,,,,,,,,,,,,,,,,
3975,family,Charadriiformes,Rostratulidae,Painted-Snipes,Rostratulidae,,,,,,,,,,,,,,,,,,,,
3981,family,Charadriiformes,Jacanidae,Jacanas,Jacanidae,,,,,,,,,,,,,,,,,,,,
4002,family,Charadriiformes,Scolopacidae,Sandpipers and Allies,Scolopacidae,,,,,,,,,,,,,,,,,,,,
4192,family,Charadriiformes,Turnicidae,Buttonquail,Turnicidae,,,,,,,,,,,,,,,,,,,,
4258,family,Charadriiformes,Dromadidae,Crab-Plover,Dromadidae,,,,,,,,,,,,,,,,,,,,
4261,family,Charadriiformes,Glareolidae,Coursers and Pratincoles,Glareolidae,,,,,,,,,,,,,,,,,,,,
4308,family,Charadriiformes,Stercorariidae,Jaegers and Skuas,Stercorariidae,,,,,,,,,,,,,,,,,,,,
4322,family,Charadriiformes,Alcidae,"Auks, Puffins, and Murres",Alcidae,,,,,,,,,,,,,,,,,,,,
4386,family,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Laridae,,,,,,,,,,,,,,,,,,,,
4640,family,Eurypygiformes,Eurypygidae,Sunbittern,Eurypygidae,,,,,,,,,,,,,,,,,,,,
