Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,Authority,Bibliographic_details,English_name_AviList,English_name_Clements_v2024,English_name_BirdLife_v9,Proposal_number,Decision_summary,Range,Extinct_or_possibly_extinct,IUCN_Red_List_Category,BirdLife_DataZone_URL,Species_code_Cornell_Lab,Birds_of_the_World_URL,AvibaseID,Gender_of_genus,Type_species_of_genus,Type_locality,Title_of_original_description,Original_description_URL,Protonym
1,order,Struthioniformes,,,Struthioniformes,,,,,,,,,,,,,,,,,,,,
10,order,Casuariiformes,,,Casuariiformes,,,,,,,,,,,,,,,,,,,,
24,order,Apterygiformes,,,Apterygiformes,,,,,,,,,,,,,,,,,,,,
34,order,Rheiformes,,,Rheiformes,,,,,,,,,,,,,,,,,,,,
47,order,Tinamiformes,,,Tinamiformes,,,,,,,,,,,,,,,,,,,,
230,order,Anseriformes,,,Anseriformes,,,,,,,,,,,,,,,,,,,,
588,order,Galliformes,,,Galliformes,,,,,,,,,,,,,,,,,,,,
1613,order,Phoenicopteriformes,,,Phoenicopteriformes,,,,,,,,,,,,,,,,,,,,
1626,order,Podicipediformes,,,Podicipediformes,,,,,,,,,,,,,,,,,,,,
1701,order,Musophagiformes,,,Musophagiformes,,,,,,,,,,,,,,,,,,,,
1761,order,Otidiformes,,,Otidiformes,,,,,,,,,,,,,,,,,,,,
1830,order,Cuculiformes,,,Cuculiformes,,,,,,,,,,,,,,,,,,,,
2219,order,Mesitornithiformes,,,Mesitornithiformes,,,,,,,,,,,,,,,,,,,,
2226,order,Pterocliformes,,,Pterocliformes,,,,,,,,,,,,,,,,,,,,
2274,order,Columbiformes,,,Columbiformes,,,,,,,,,,,,,,,,,,,,
3233,order,Opisthocomiformes,,,Opisthocomiformes,,,,,,,,,,,,,,,,,,,,
3237,order,Gruiformes,,,Gruiformes,,,,,,,,,,,,,,,,,,,,
3725,order,Charadriiformes,,,Charadriiformes,,,,,,,,,,,,,,,,,,,,
4639,order,Eurypygiformes,,,Eurypygiformes,,,,,,,,,,,,,,,,,,,,
4649,order,Phaethontiformes,,,Phaethontiformes,,,,,,,,,,,,,,,,,,,,
4668,order,Gaviiformes,,,Gaviiformes,,,,,,,,,,,,,,,,,,,,
4678,order,Sphenisciformes,,,Sphenisciformes,,,,,,,,,,,,,,,,,,,,
4715,order,Procellariiformes,,,Procellariiformes,,,,,,,,,,,,,,,,,,,,
4970,order,Ciconiiformes,,,Ciconiiformes,,,,,,,,,,,,,,,,,,,,
5006,order,Suliformes,,,Suliformes,,,,,,,,,,,,,,,,,,,,
5142,order,Pelecaniformes,,,Pelecaniformes,,,,,,,,,,,,,,,,,,,,
5431,order,Caprimulgiformes,,,Caprimulgiformes,,,,,,1183,"The Caprimulgiformes sensu lato are treated as six orders based on evidence of ancient genetic divergences obtained from densely sampled nuclear DNA (Prum et al. 2015) and genomic data (Stiller et al. 2024), combined with the great morphological and ecological diversity represented within the group: Apodiformes (Hemiprocnidae, Apodidae, Trochilidae); Steatornithiformes (Steatornithidae); Nyctibiiformes (Nyctibiidae); Podargiformes (Podargidae); Caprimulgiformes (Caprimulgidae); and Aegotheliformes (Aegothelidae). However, recognition of an expanded Caprimulgiformes would also be valid and would retain information on the common evolutionary history of these divergent lineages.",,,,,,,,,,,,,
5722,order,Steatornithiformes,,,Steatornithiformes,,,,,,1183,"The Caprimulgiformes sensu lato are treated as six orders based on evidence of ancient genetic divergences obtained from densely sampled nuclear DNA (Prum et al. 2015) and genomic data (Stiller et al. 2024), combined with the great morphological and ecological diversity represented within the group: Apodiformes (Hemiprocnidae, Apodidae, Trochilidae); Steatornithiformes (Steatornithidae); Nyctibiiformes (Nyctibiidae); Podargiformes (Podargidae); Caprimulgiformes (Caprimulgidae); and Aegotheliformes (Aegothelidae). However, recognition of an expanded Caprimulgiformes would also be valid and would retain information on the common evolutionary history of these divergent lineages.",,,,,,,,,,,,,
5726,order,Nyctibiiformes,,,Nyctibiiformes,,,,,,1183,"The Caprimulgiformes sensu lato are treated as six orders based on evidence of ancient genetic divergences obtained from densely sampled nuclear DNA (Prum et al. 2015) and genomic data (Stiller et al. 2024), combined with the great morphological and ecological diversity represented within the group: Apodiformes (Hemiprocnidae, Apodidae, Trochilidae); Steatornithiformes (Steatornithidae); Nyctibiiformes (Nyctibiidae); Podargiformes (Podargidae); Caprimulgiformes (Caprimulgidae); and Aegotheliformes (Aegothelidae). However, recognition of an expanded Caprimulgiformes would also be valid and would retain information on the common evolutionary history of these divergent lineages.",,,,,,,,,,,,,
5747,order,Podargiformes,,,Podargiformes,,,,,,1183,"The Caprimulgiformes sensu lato are treated as six orders based on evidence of ancient genetic divergences obtained from densely sampled nuclear DNA (Prum et al. 2015) and genomic data (Stiller et al. 2024), combined with the great morphological and ecological diversity represented within the group: Apodiformes (Hemiprocnidae, Apodidae, Trochilidae); Steatornithiformes (Steatornithidae); Nyctibiiformes (Nyctibiidae); Podargiformes (Podargidae); Caprimulgiformes (Caprimulgidae); and Aegotheliformes (Aegothelidae). However, recognition of an expanded Caprimulgiformes would also be valid and would retain information on the common evolutionary history of these divergent lineages.",,,,,,,,,,,,,
5785,order,Aegotheliformes,,,Aegotheliformes,,,,,,1183,"The Caprimulgiformes sensu lato are treated as six orders based on evidence of ancient genetic divergences obtained from densely sampled nuclear DNA (Prum et al. 2015) and genomic data (Stiller et al. 2024), combined with the great morphological and ecological diversity represented within the group: Apodiformes (Hemiprocnidae, Apodidae, Trochilidae); Steatornithiformes (Steatornithidae); Nyctibiiformes (Nyctibiidae); Podargiformes (Podargidae); Caprimulgiformes (Caprimulgidae); and Aegotheliformes (Aegothelidae). However, recognition of an expanded Caprimulgiformes would also be valid and would retain information on the common evolutionary history of these divergent lineages.",,,,,,,,,,,,,
5803,order,Apodiformes,,,Apodiformes,,,,,,1183,"The Caprimulgiformes sensu lato are treated as six orders based on evidence of ancient genetic divergences obtained from densely sampled nuclear DNA (Prum et al. 2015) and genomic data (Stiller et al. 2024), combined with the great morphological and ecological diversity represented within the group: Apodiformes (Hemiprocnidae, Apodidae, Trochilidae); Steatornithiformes (Steatornithidae); Nyctibiiformes (Nyctibiidae); Podargiformes (Podargidae); Caprimulgiformes (Caprimulgidae); and Aegotheliformes (Aegothelidae). However, recognition of an expanded Caprimulgiformes would also be valid and would retain information on the common evolutionary history of these divergent lineages.",,,,,,,,,,,,,
7156,order,Strigiformes,,,Strigiformes,,,,,,,,,,,,,,,,,,,,
7920,order,Cathartiformes,,,Cathartiformes,,,,,,,,,,,,,,,,,,,,
7942,order,Accipitriformes,,,Accipitriformes,,,,,,,,,,,,,,,,,,,,
8664,order,Coliiformes,,,Coliiformes,,,,,,,,,,,,,,,,,,,,
8706,order,Leptosomiformes,,,Leptosomiformes,,,,,,,,,,,,,,,,,,,,
8713,order,Trogoniformes,,,Trogoniformes,,,,,,,,,,,,,,,,,,,,
8858,order,Bucerotiformes,,,Bucerotiformes,,,,,,,,,,,,,,,,,,,,
9017,order,Coraciiformes,,,Coraciiformes,,,,,,,,,,,,,,,,,,,,
9607,order,Galbuliformes,,,Galbuliformes,,,,,,,,,,,,,,,,,,,,
9759,order,Piciformes,,,Piciformes,,,,,,,,,,,,,,,,,,,,
11081,order,Cariamiformes,,,Cariamiformes,,,,,,,,,,,,,,,,,,,,
11087,order,Falconiformes,,,Falconiformes,,,,,,,,,,,,,,,,,,,,
11278,order,Psittaciformes,,,Psittaciformes,,,,,,,,,,,,,,,,,,,,
12324,order,Passeriformes,,,Passeriformes,,,,,,,,,,,,,,,,,,,,
