concept_id,Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,Authority,Proposal_number,Decision_summary,Gender_of_genus,Type_species_of_genus,Type_locality,Title_of_original_description,Original_description_URL,Protonym,AvibaseID,taxon_name_id
GENUS-3,3,genus,Struthioniformes,Struthionidae,Ostriches,Struthio,"Linnaeus, C, 1758",,,M,"Struthio camelus [Linnaeus, 1758]; type by subsequent designation (Gray, GR, 1840, A List of the Genera of Birds, p. 63).",,,https://www.biodiversitylibrary.org/item/10277#page/174/mode/1up,Struthio,avibase-genus-3,taxonname-genus-3
GENUS-12,12,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius,"Vieillot, LJP, 1816",,,M,"Casuarius novaehollandiae [Latham, 1790]; type by monotypy",,,https://gallica.bnf.fr/ark:/12148/bpt6k9745205x/f76.item,Dromaius,avibase-genus-12,taxonname-genus-12
GENUS-18,18,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius,"Brisson, MJ, 1760",,,M,"Struthio casuarius [Linnaeus, 1758]; type by tautonymy = Struthio casuarius Linnaeus, 1758",,,,Casuarius,avibase-genus-18,taxonname-genus-18
GENUS-26,26,genus,Apterygiformes,Apterygidae,Kiwis,Apteryx,"Shaw, G, 1813",,,F,"Apteryx australis [Shaw, 1813]; type by monotypy",,,https://www.biodiversitylibrary.org/item/296719#page/225/mode/1up,Apteryx,avibase-genus-26,taxonname-genus-26
GENUS-36,36,genus,Rheiformes,Rheidae,Rheas,Rhea,"Brisson, MJ, 1760",,,F,"Struthio americanus [Linnaeus, 1758]; type by tautonymy = Struthio americanus Linnaeus, 1758",,,,Rhea,avibase-genus-36,taxonname-genus-36
GENUS-49,49,genus,Tinamiformes,Tinamidae,Tinamous,Tinamotis,"Vigors, NA, 1837",,,F,"Tinamotis pentlandii [Vigors, 1837]; type by monotypy",,,https://www.biodiversitylibrary.org/item/96163#page/93/mode/1up,Tinamotis,avibase-genus-49,taxonname-genus-49
GENUS-52,52,genus,Tinamiformes,Tinamidae,Tinamous,Eudromia,"Geoffroy Saint-Hilaire, I, 1832",,,F,"Eudromia elegans [Geoffroy Saint-Hilaire, I, 1832]; type by monotypy",,,,Eudromia,avibase-genus-52,taxonname-genus-52
GENUS-67,67,genus,Tinamiformes,Tinamidae,Tinamous,Taoniscus,"Gloger, CWL, 1842",,,M,"Taoniscus pavoninus [Gloger, 1842]; type by monotypy = Tinamus nanus Temminck, 1815  ",,,,Taoniscus,avibase-genus-67,taxonname-genus-67
GENUS-69,69,genus,Tinamiformes,Tinamidae,Tinamous,Nothura,"Wagler, JG, 1827",,,F,"Tinamus boraquira [von Spix, 1825]; type by subsequent designation (Gray, GR, 1840, A List of the Genera of Birds, p. 63).",,,https://www.biodiversitylibrary.org/item/233421#page/339/mode/1up,Nothura,avibase-genus-69,taxonname-genus-69
GENUS-88,88,genus,Tinamiformes,Tinamidae,Tinamous,Rhynchotus,"Spix, JB, 1825",,,M,"Tinamus rufescens [Temminck, 1815]; type by monotypy",,,https://www.biodiversitylibrary.org/item/128667#page/74/mode/1up,Rhynchotus,avibase-genus-88,taxonname-genus-88
