Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,Authority,Bibliographic_details,English_name_AviList,English_name_Clements_v2024,English_name_BirdLife_v9,Proposal_number,Decision_summary,Range,Extinct_or_possibly_extinct,IUCN_Red_List_Category,BirdLife_DataZone_URL,Species_code_Cornell_Lab,Birds_of_the_World_URL,AvibaseID,Gender_of_genus,Type_species_of_genus,Type_locality,Title_of_original_description,Original_description_URL,Protonym
3,genus,Struthioniformes,Struthionidae,Ostriches,Struthio,"Linnaeus, C, 1758","Systema Naturæ per Regna Tria Naturæ, Secundum Classes, Ordines, Genera, Species, cum Characteribus, Differentiis, Synonymis, Locis. Tomus I. Editio decima, reformata 1 p.155",,,,,,,,,,,,,M,"Struthio camelus [Linnaeus, 1758]; type by subsequent designation (Gray, GR, 1840, A List of the Genera of Birds, p. 63).",,,https://www.biodiversitylibrary.org/item/10277#page/174/mode/1up,Struthio
12,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius,"Vieillot, LJP, 1816",Analyse d'une Nouvelle Ornithologie Élémentaire p.70,,,,,,,,,,,,,M,"Casuarius novaehollandiae [Latham, 1790]; type by monotypy",,,https://gallica.bnf.fr/ark:/12148/bpt6k9745205x/f76.item,Dromaius
18,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius,"Brisson, MJ, 1760","Ornithologia sive synopsis methodica sistens avium divisionem in ordines, sectiones, genera, species, ipsarumaque varietates 1 p.46;5, p.10",,,,,,,,,,,,,M,"Struthio casuarius [Linnaeus, 1758]; type by tautonymy = Struthio casuarius Linnaeus, 1758",,,,Casuarius
26,genus,Apterygiformes,Apterygidae,Kiwis,Apteryx,"Shaw, G, 1813","The naturalist's miscellany 24, no.10 pl.1057,1058",,,,,,,,,,,,,F,"Apteryx australis [Shaw, 1813]; type by monotypy",,,https://www.biodiversitylibrary.org/item/296719#page/225/mode/1up,Apteryx
36,genus,Rheiformes,Rheidae,Rheas,Rhea,"Brisson, MJ, 1760","Ornithologia sive synopsis methodica sistens avium divisionem in ordines, sectiones, genera, species, ipsarumaque varietates 1 p.46;5, p.8",,,,,,,,,,,,,F,"Struthio americanus [Linnaeus, 1758]; type by tautonymy = Struthio americanus Linnaeus, 1758",,,,Rhea
49,genus,Tinamiformes,Tinamidae,Tinamous,Tinamotis,"Vigors, NA, 1837","Proceedings of the Zoological Society of London pt.4, no.45 p.79",,,,,,,,,,,,,F,"Tinamotis pentlandii [Vigors, 1837]; type by monotypy",,,https://www.biodiversitylibrary.org/item/96163#page/93/mode/1up,Tinamotis
52,genus,Tinamiformes,Tinamidae,Tinamous,Eudromia,"Geoffroy Saint-Hilaire, I, 1832",Magasin de Zoologie 2 cl.2 p.1 pl.1,,,,,,,,,,,,,F,"Eudromia elegans [Geoffroy Saint-Hilaire, I, 1832]; type by monotypy",,,,Eudromia
67,genus,Tinamiformes,Tinamidae,Tinamous,Taoniscus,"Gloger, CWL, 1842",Gemeinnütziges Hand- und Hilfsbuch der Naturgeschichte (1841) p.404,,,,,,,,,,,,,M,"Taoniscus pavoninus [Gloger, 1842]; type by monotypy = Tinamus nanus Temminck, 1815  ",,,,Taoniscus
69,genus,Tinamiformes,Tinamidae,Tinamous,Nothura,"Wagler, JG, 1827",Systema Avium pt.1 p.297,,,,,,,,,,,,,F,"Tinamus boraquira [von Spix, 1825]; type by subsequent designation (Gray, GR, 1840, A List of the Genera of Birds, p. 63).",,,https://www.biodiversitylibrary.org/item/233421#page/339/mode/1up,Nothura
88,genus,Tinamiformes,Tinamidae,Tinamous,Rhynchotus,"Spix, JB, 1825","Avium species novae, quas in itinere per Brasiliam annis MDCCCXVII-MDCCCXX (etc.) 2 p.60",,,,,,,,,,,,,M,"Tinamus rufescens [Temminck, 1815]; type by monotypy",,,https://www.biodiversitylibrary.org/item/128667#page/74/mode/1up,Rhynchotus
94,genus,Tinamiformes,Tinamidae,Tinamous,Nothoprocta,"Sclater, PL; Salvin, O, 1873","Nomenclator Avium Neotropicalium (etc.) p.153,156",,,,,,,,,,,,,F,"Crypturus perdicarius [von Kittlitz, 1830]; type by original designation",,,,Nothoprocta
