concept_id,Sequence,Taxon_rank,Order,Scientific_name,Proposal_number,Decision_summary,AvibaseID,taxon_name_id
ORDER-1,1,order,Struthioniformes,Struthioniformes,,,avibase-order-1,taxonname-order-1
ORDER-10,10,order,Casuariiformes,Casuariiformes,,,avibase-order-10,taxonname-order-10
ORDER-24,24,order,Apterygiformes,Apterygiformes,,,avibase-order-24,taxonname-order-24
ORDER-34,34,order,Rheiformes,Rheiformes,,,avibase-order-34,taxonname-order-34
ORDER-47,47,order,Tinamiformes,Tinamiformes,,,avibase-order-47,taxonname-order-47
ORDER-230,230,order,Anseriformes,Anseriformes,,,avibase-order-230,taxonname-order-230
ORDER-588,588,order,Galliformes,Galliformes,,,avibase-order-588,taxonname-order-588
ORDER-1613,1613,order,Phoenicopteriformes,Phoenicopteriformes,,,avibase-order-1613,taxonname-order-1613
ORDER-1626,1626,order,Podicipediformes,Podicipediformes,,,avibase-order-1626,taxonname-order-1626
ORDER-1701,1701,order,Musophagiformes,Musophagiformes,,,avibase-order-1701,taxonname-order-1701
ORDER-1761,1761,order,Otidiformes,Otidiformes,,,avibase-order-1761,taxonname-order-1761
ORDER-1830,1830,order,Cuculiformes,Cuculiformes,,,avibase-order-1830,taxonname-order-1830
ORDER-2219,2219,order,Mesitornithiformes,Mesitornithiformes,,,avibase-order-2219,taxonname-order-2219
ORDER-2226,2226,order,Pterocliformes,Pterocliformes,,,avibase-order-2226,taxonname-order-2226
ORDER-2274,2274,order,Columbiformes,Columbiformes,,,avibase-order-2274,taxonname-order-2274
ORDER-3233,3233,order,Opisthocomiformes,Opisthocomiformes,,,avibase-order-3233,taxonname-order-3233
ORDER-3237,3237,order,Gruiformes,Gruiformes,,,avibase-order-3237,taxonname-order-3237
ORDER-3725,3725,order,Charadriiformes,Charadriiformes,,,avibase-order-3725,taxonname-order-3725
ORDER-4639,4639,order,Eurypygiformes,Eurypygiformes,,,avibase-order-4639,taxonname-order-4639
ORDER-4649,4649,order,Phaethontiformes,Phaethontiformes,,,avibase-order-4649,taxonname-order-4649
ORDER-4668,4668,order,Gaviiformes,Gaviiformes,,,avibase-order-4668,taxonname-order-4668
ORDER-4678,4678,order,Sphenisciformes,Sphenisciformes,,,avibase-order-4678,taxonname-order-4678
ORDER-4715,4715,order,Procellariiformes,Procellariiformes,,,avibase-order-4715,taxonname-order-4715
