"taxon","taxonLabel"
"http://purl.obolibrary.org/obo/NCBITaxon_1126252","birdstrike environmental sample"
"http://purl.obolibrary.org/obo/NCBITaxon_1229511","bird environmental sample"
"http://purl.obolibrary.org/obo/NCBITaxon_1109079","Mitu tomentosum"
"http://purl.obolibrary.org/obo/NCBITaxon_125063","Mitu tuberosum"
"http://purl.obolibrary.org/obo/NCBITaxon_194921","Mitu mitu"
"http://purl.obolibrary.org/obo/NCBITaxon_194922","Mitu mitu x Mitu tuberosa"
"http://purl.obolibrary.org/obo/NCBITaxon_210762","Mitu salvini"
"http://purl.obolibrary.org/obo/NCBITaxon_1109084","Penelope albipennis"
"http://purl.obolibrary.org/obo/NCBITaxon_1109085","Penelope barbata"
"http://purl.obolibrary.org/obo/NCBITaxon_1118816","Penelope marail"
"http://purl.obolibrary.org/obo/NCBITaxon_1118817","Penelope pileata"
"http://purl.obolibrary.org/obo/NCBITaxon_125071","Penelope obscura"
"http://purl.obolibrary.org/obo/NCBITaxon_1872712","Penelope dabbenei"
"http://purl.obolibrary.org/obo/NCBITaxon_1881866","Penelope jacquacu"
"http://purl.obolibrary.org/obo/NCBITaxon_211674","Penelope ochrogaster"
"http://purl.obolibrary.org/obo/NCBITaxon_211675","Penelope purpurascens"
"http://purl.obolibrary.org/obo/NCBITaxon_301609","Penelope montagnii"
"http://purl.obolibrary.org/obo/NCBITaxon_301610","Penelope argyrotis"
"http://purl.obolibrary.org/obo/NCBITaxon_8986","Penelope jacucaca"
"http://purl.obolibrary.org/obo/NCBITaxon_8987","Penelope superciliaris"
"http://purl.obolibrary.org/obo/NCBITaxon_114918","Ortalis cinereiceps"
"http://purl.obolibrary.org/obo/NCBITaxon_118197","Ortalis guttata"
"http://purl.obolibrary.org/obo/NCBITaxon_125068","Ortalis canicollis"
"http://purl.obolibrary.org/obo/NCBITaxon_1517989","Ortalis wagleri"
"http://purl.obolibrary.org/obo/NCBITaxon_1872714","Ortalis erythroptera"
"http://purl.obolibrary.org/obo/NCBITaxon_301601","Ortalis motmot"
"http://purl.obolibrary.org/obo/NCBITaxon_301602","Ortalis leucogastra"
"http://purl.obolibrary.org/obo/NCBITaxon_301603","Ortalis garrula"
"http://purl.obolibrary.org/obo/NCBITaxon_301604","Ortalis ruficauda"
"http://purl.obolibrary.org/obo/NCBITaxon_301605","Ortalis pantanalensis"
"http://purl.obolibrary.org/obo/NCBITaxon_301701","Ortalis poliocephala"
