"taxonLabel","uberonLabel"
"Aves","telencephalic song nucleus HVC"
"Aves","area X of basal ganglion"
"Aves","robust nucleus of arcopallium"
"Aves","regurgitated pellet"
"Aves","feathered ear tuft"
"Aves","maxillary rhamphotheca"
"Aves","mandibular rhamphotheca"
"Aves","pygostyle"
"Aves","preen oil"
"Aves","anterior air sac"
"Aves","posterior air sac"
"Aves","interclavicular air sac"
"Aves","cervical air sac"
"Aves","anterior thoracic air sac"
"Aves","posterior thoracic air sac"
"Aves","abdominal air sac"
"Aves","membrana tympaniformis lateralis"
"Aves","membrana tympaniformis medialis"
"Aves","clavicular air sac"
"Aves","scleral sesamoid bone"
"Aves","paraglossale"
"Aves","secretion of crop"
"Aves","beak"
"Aves","gizzard"
"Aves","crop"
"Aves","proventriculus"
"Aves","comb"
"Aves","rhamphotheca"
"Aves","nidopallium"
"Aves","hyperpallium"
"Aves","arcopallium"
"Aves","nucleus isthmo-opticus"
"Aves","comb and wattle"
"Aves","uropygial gland"
"Aves","parabronchus"
"Aves","air sac"
"Aves","mesobronchus"
"Aves","ventrobronchus"
"Aves","dorsobronchus"
"Aves","syrinx organ"
"Aves","membrana tympaniformis"
"Aves","pessulus"
"Aves","humeral diverticulum of clavicular air sac"
"Aves","upper beak"
"Aves","lower beak"
"Aves","carina of sternum"
"Aves","supracoracoideus muscle of wing"
"Aves","gizzard smooth muscle"
"Aves","infraorbital sinus"
"Aves","lumen of parabronchus"
"Aves","air capillary of parabronchus"
"Aves","lateroobronchus"
"Aves","appendicocostalis muscle"
"Aves","alular digit"
"Aves","manual major digit (Aves)"
"Aves","manual minor digit (Aves)"
"Aves","urodeum"
"Aves","Herbst's corpuscle"
"Aves","urodeal gland"
"Aves","supraorbital gland"
"Aves","cecal tonsil"
"Aves","uterine tube magnum"
"Aves","avian uterine tube isthmus"
"Aves","hyperpallium apicale"
"Aves","interstitial part of hyperpallium apicale"
"Aves","entopallium"
"Aves","rictal bristle"
"Aves","nucleus lentiformis mesencephali (Aves)"
"Aves","nucleus pretectalis diffusus"
"Aves","subpretectal complex of Aves"
"Aves","nucleus subpretectalis"
"Aves","nucleus interstitio-pretectalis-subpretectalis"
"Aves","lateral spiriform nucleus"
"Aves","medial spiriform nucleus"
"Aves","nucleus circularis of pretectum"
"Aves","alular digit plus metapodial segment"
"Aves","manual major digit (Aves) plus metapodial segment"
"Aves","manual minor digit (Aves) plus metapodial segment"
"Aves","alular digit digitopodial skeleton"
"Aves","manual major digit (Aves) digitopodial skeleton"
"Aves","manual minor digit (Aves) digitopodial skeleton"
"Aves","lymphoid nodule"
"Passeriformes","telencephalic song nucleus HVC"
"Passeriformes","area X of basal ganglion"
"Passeriformes","robust nucleus of arcopallium"
"Strigiformes","feathered ear tuft"
"Strigiformes","scleral sesamoid bone"
"Neognathae","feathered ear tuft"
"Neognathae","scleral sesamoid bone"
"Neognathae","telencephalic song nucleus HVC"
"Neognathae","area X of basal ganglion"
"Neognathae","robust nucleus of arcopallium"
