"aviLabel","taxon","aviId","avidb_link"
"Struthio molybdophanes","http://purl.obolibrary.org/obo/NCBITaxon_3150590","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-40329BB6","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-40329BB6"
"Struthio camelus","http://purl.obolibrary.org/obo/NCBITaxon_8801","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-2247CB05","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-2247CB05"
"Dromaius novaehollandiae","http://purl.obolibrary.org/obo/NCBITaxon_8790","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-FD2456D5","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-FD2456D5"
"Casuarius casuarius","http://purl.obolibrary.org/obo/NCBITaxon_8787","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-8B9D93D8","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-8B9D93D8"
"Casuarius bennetti","http://purl.obolibrary.org/obo/NCBITaxon_30463","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-7751E0D1","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7751E0D1"
"Casuarius unappendiculatus","http://purl.obolibrary.org/obo/NCBITaxon_1740858","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-32E7303B","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-32E7303B"
"Apteryx owenii","http://purl.obolibrary.org/obo/NCBITaxon_8824","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-187706CF","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-187706CF"
"Apteryx maxima","http://purl.obolibrary.org/obo/NCBITaxon_3391464","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-0D8B9E40","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-0D8B9E40"
"Apteryx australis","http://purl.obolibrary.org/obo/NCBITaxon_8822","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-6BA55EF0","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-6BA55EF0"
"Apteryx rowi","http://purl.obolibrary.org/obo/NCBITaxon_308060","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-D433BDAB","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D433BDAB"
"Apteryx mantelli","http://purl.obolibrary.org/obo/NCBITaxon_2696672","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-DB55CB8C","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-DB55CB8C"
"Rhea pennata","http://purl.obolibrary.org/obo/NCBITaxon_8795","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-590ADF92","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-590ADF92"
"Rhea americana","http://purl.obolibrary.org/obo/NCBITaxon_8797","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-00986B24","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-00986B24"
