"taxonLabel","uberonLabel","upp_label","uoo_label"
"Aves","telencephalic song nucleus HVC","has part","independent continuant"
"Aves","telencephalic song nucleus HVC","has_part","independent continuant"
"Aves","telencephalic song nucleus HVC","has part","anatomical structure"
"Aves","telencephalic song nucleus HVC","has_part","anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","continuant"
"Aves","telencephalic song nucleus HVC","has_part","continuant"
"Aves","telencephalic song nucleus HVC","has part","material entity"
"Aves","telencephalic song nucleus HVC","has_part","material entity"
"Aves","telencephalic song nucleus HVC","has part","anatomical entity"
"Aves","telencephalic song nucleus HVC","has_part","anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","has_part","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","material anatomical entity"
"Aves","telencephalic song nucleus HVC","has_part","material anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","gray matter"
"Aves","telencephalic song nucleus HVC","has_part","gray matter"
"Aves","telencephalic song nucleus HVC","has part","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has_part","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has part","electron"
"Aves","telencephalic song nucleus HVC","has_part","electron"
"Aves","telencephalic song nucleus HVC","has part","proton"
"Aves","telencephalic song nucleus HVC","has_part","proton"
"Aves","telencephalic song nucleus HVC","has part","atomic nucleus"
"Aves","telencephalic song nucleus HVC","has_part","atomic nucleus"
"Aves","telencephalic song nucleus HVC","has part","subatomic particle"
"Aves","telencephalic song nucleus HVC","has_part","subatomic particle"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","has_part","atom"
"Aves","telencephalic song nucleus HVC","has part","molecule"
"Aves","telencephalic song nucleus HVC","has_part","molecule"
"Aves","telencephalic song nucleus HVC","has part","cellular_component"
"Aves","telencephalic song nucleus HVC","has_part","cellular_component"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical entity"
"Aves","telencephalic song nucleus HVC","has_part","cellular anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical structure"
"Aves","telencephalic song nucleus HVC","has_part","cellular anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","chemical entity"
"Aves","telencephalic song nucleus HVC","has_part","chemical entity"
"Aves","telencephalic song nucleus HVC","has part","inorganic molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","inorganic molecular entity"
"Aves","telencephalic song nucleus HVC","has part","entity"
"Aves","telencephalic song nucleus HVC","has_part","entity"
"Aves","telencephalic song nucleus HVC","has part","ion"
"Aves","telencephalic song nucleus HVC","has_part","ion"
"Aves","telencephalic song nucleus HVC","has part","hydrogen molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","hydrogen molecular entity"
"Aves","telencephalic song nucleus HVC","has part","hydron"
"Aves","telencephalic song nucleus HVC","has_part","hydron"
"Aves","telencephalic song nucleus HVC","has part","monoatomic cation"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic cation"
"Aves","telencephalic song nucleus HVC","has part","monoatomic ion"
"Aves","telencephalic song nucleus HVC","has_part","monoatomic ion"
"Aves","telencephalic song nucleus HVC","has part","inorganic ion"
"Aves","telencephalic song nucleus HVC","has_part","inorganic ion"
"Aves","telencephalic song nucleus HVC","has part","inorganic cation"
"Aves","telencephalic song nucleus HVC","has_part","inorganic cation"
"Aves","telencephalic song nucleus HVC","has part","cation"
"Aves","telencephalic song nucleus HVC","has_part","cation"
"Aves","telencephalic song nucleus HVC","has part","neuronal cell body"
"Aves","telencephalic song nucleus HVC","has_part","neuronal cell body"
"Aves","telencephalic song nucleus HVC","has part","cell body"
"Aves","telencephalic song nucleus HVC","has_part","cell body"
"Aves","telencephalic song nucleus HVC","has part","monovalent inorganic cation"
"Aves","telencephalic song nucleus HVC","has_part","monovalent inorganic cation"
"Aves","telencephalic song nucleus HVC","has part","molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","molecular entity"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","has_part","atom"
"Aves","telencephalic song nucleus HVC","has part","multi cell part structure"
"Aves","telencephalic song nucleus HVC","has_part","multi cell part structure"
"Aves","telencephalic song nucleus HVC","has part","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","has_part","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","has part","hydrogen atom"
"Aves","telencephalic song nucleus HVC","has_part","hydrogen atom"
"Aves","telencephalic song nucleus HVC","has part","main group molecular entity"
"Aves","telencephalic song nucleus HVC","has_part","main group molecular entity"
"Aves","telencephalic song nucleus HVC","has part","lepton"
"Aves","telencephalic song nucleus HVC","has_part","lepton"
"Aves","telencephalic song nucleus HVC","has part","monoatomic monocation"
"Aves","telencephalic song nucleus HVC","has part","monoatomic monocation"
